Portuguese,English
que,what
não,no
o,The
de,in
a,The
é,is
você,you
e,and
eu,me
um,one
para,for
está,it is
uma,an
se,if
com,with
por,per
ele,it
isso,that
em,in
do,of
me,me
mas,but
como,like
bem,good
da,gives
no,at the
os,the
ela,she
na,at
sim,Yes
aqui,on here
mais,more
tem,have
meu,my
seu,your
muito,much
foi,was
as,at
vai,go
sua,your
estou,I am
vamos,we will
tudo,all
minha,my
só,only
então,So
pode,can
agora,now
vou,I'm going
ser,to be
quando,When
fazer,do
sei,know
eles,they
nós,we
tenho,have
te,you
estava,was
certo,right
quer,would you like
sabe,You know
já,already
era,was
nos,we
quem,who
ou,or
ao,to
nada,nothing
disse,said
há,there is
lá,there
onde,Where
quero,I want
bom,good
ter,Tue
sou,am
são,are
dizer,tell
posso,I can
acho,think
sobre,on
mim,me
porque,why
mesmo,same
coisa,thing
todos,all
estão,They are
algo,something
até,up until
tempo,time
assim,like this
nunca,Never
vocês,you
esse,that
casa,House
quê,what
essa,That
à,The
ver,to see
também,also
pra,for
ainda,still
tão,So
dos,From
cara,guy
favor,favor
ir,go
melhor,best
noite,night
sem,without
temos,we have
obrigado,thank you
dia,day
talvez,perhaps
pai,dad
estamos,we are
esta,it is
deus,God
alguém,someone
mãe,mother
vida,life
senhor,Mr
este,This one
isto,this
sempre,ever
anos,years
vez,turn
verdade,truth
seus,their
dele,his
ficar,stay
parece,looks
oh,oh
claro,clear
depois,after
tinha,had
falar,speak
coisas,stuff
antes,before
pessoas,people
pouco,little
pelo,fur
preciso,need
apenas,only
homem,man
deve,should
nem,nor
boa,good
dois,two
fazendo,doing
todo,all
lugar,place
faz,does
acha,think
fez,did
aí,there
fora,out
estar,be
qual,which
disso,of this
trabalho,job
precisa,need
das,of
hoje,today
ninguém,nobody
novo,New
queria,I wanted
ei,Hey
comigo,with me
mundo,world
saber,to know
alguma,some
dar,to give
podemos,we can
grande,big
sinto,I
seja,be
nossa,Wow
poderia,could
dinheiro,money
suas,your
será,it will be
nome,name
quanto,how much
qualquer,any
pela,through the
outro,other
vá,go
lhe,you
dela,her
nosso,our
oi,Hi
meus,my
desculpe,excuse me
filho,son
certeza,assurance
vão,vain
hora,hour
ok,OK
outra,other
sair,get out
toda,all
volta,return
problema,problem
obrigada,thanks
olá,Hello
tipo,type
realmente,really
sabia,I knew
aconteceu,It happened
menos,any less
mulher,woman
algum,some
diga,say it
falando,Speaking
espere,hang on
ótimo,great
carro,car
vezes,times
amigo,friend
primeiro,first
deveria,should
seria,would be
venha,come on
três,three
entre,in between
daqui,hence
sério,for real
diz,says
voltar,come back
ah,ah
parte,part
amor,love
feliz,happy
às,at
viu,saw
embora,although
família,family
olhe,look
deixar,leave
atrás,behind
tenha,has
faça,Knife
pensei,thought
ajudar,to help
todas,all
olha,looks
aquele,that
duas,two
querida,Dear
frente,front
vi,saw
indo,going
alguns,some
dias,days
fui,went
vem,comes
lado,side
podem,can
fiz,made
merda,Shit
nas,at the
pare,Stop
tarde,afternoon
gosto,taste
precisamos,We need
caso,case
fique,stay
dentro,inside
cidade,City
momento,time
pegar,take
foram,were
nenhum,none
gente,people
somos,are
amanhã,tomorrow
fosse,was
cabeça,head
gostaria,would
amigos,friends
mal,bad
enquanto,While
homens,men
logo,soon
deles,their
desde,since
tanto,so much
garota,girl
pessoa,person
legal,cool
amo,master
rápido,fast
algumas,some
cada,each
jeito,way
tentando,trying
meio,means
outros,others
têm,have
medo,fear
minhas,my
importa,it matters
irmão,brother
errado,wrong
história,history
primeira,first
quase,almost
horas,hours
encontrar,meet
nova,new
essas,these
pessoal,folks
dá,gives
difícil,difficult
forma,form
contra,against
matar,kill
semana,week
dizendo,saying
perto,close
demais,too much
entrar,log in
esses,Those
deu,He gave
achei,I found
deixe,leave
vejo,watch
polícia,police
espero,I expect
sido,been
juntos,together
ajuda,help
ano,year
caminho,way
nisso,in that
elas,they
quiser,want
crianças,children
manhã,morning
for,is
aquela,that
sorte,luck
morte,death
pensar,think
papai,dad
aos,to
ali,there
veja,Look
fica,stay
teve,had
quarto,room
levar,take along
filha,daughter
feito,done
minutos,minutes
morto,dead
porta,door
tive,I had
entendo,I understand
cima,top
acabou,ended
tá,OK
chegar,to arrive
num,on one
veio,came
água,Water
mesma,same
dê,in
significa,means
teria,it would have
pronto,ready
esposa,wife
vir,come over
acredito,I believe
ouvir,hear
gosta,like
morrer,die
nossos,our
olhos,eyes
garoto,boy
última,last
coração,heart
contar,tell
importante,important
jogo,game
acontecendo,going
razão,reason
mãos,hands
devo,I
ideia,idea
consigo,I can
idiota,idiot
passar,pass
havia,there were
problemas,problems
parar,stop
senhora,Lady
fim,end
corpo,body
chefe,boss
poder,power
mamãe,mom
ia,would
cuidado,Careful
começar,begin
espera,wait
ficou,stayed
conta,account
exatamente,exactly
arma,weapon
longe,far
escola,school
tentar,try
pois,because
terra,Earth
droga,damn it
ontem,yesterday
pensando,thinking
única,only
devia,should
sendo,being
causa,cause
guerra,war
chance,chance
usar,use
marido,husband
mão,hand
tal,such
numa,in
trabalhar,to work
sangue,blood
música,music
esperar,wait
querem,they want
uns,some
nenhuma,none
tivesse,had
digo,I say
estranho,weird
maior,bigger
velho,old
faço,I do
boca,mouth
houve,there was
festa,party
estavam,They were
fala,speaks
mulheres,women
conhece,knows
ouvi,I heard
tirar,take
esperando,waiting
podia,could
licença,license
capitão,captain
preocupe,worry
comer,eat
fácil,easy
deixa,cue
novamente,again
além,beyond
irmã,sister
meses,months
eram,they were
suficiente,enough
pais,parents
segundo,second
sabemos,we know
muitas,many
cinco,five
bebê,baby
matou,killed
querido,Dear
muita,lots of
idéia,idea
saia,skirt
muitos,Many
número,number
vê,see
deixou,left
conseguir,get
lembra,remember
dessa,of that
morreu,died
tomar,to take
the,the
bastante,quite
neste,in this
maneira,way
quatro,four
filhos,children
acontecer,to happen
criança,kid
dormir,to sleep
durante,during
possa,be likely to
desse,of this
vindo,coming
certa,certain
café,coffee
possível,possible
casamento,marriage
irá,will
acordo,wake up
quis,wanted
equipe,team
conheço,I know
ruim,bad
culpa,fault
jantar,dinner
provavelmente,most likely
consegue,can
telefone,telephone
esteja,is
mil,thousand
i,i
forte,strong
sentir,to sense
viver,to live
chegou,has arrived
diferente,different
sozinho,alone
prazer,pleasure
pergunta,question
procurando,searching
iria,would go
terá,will have
conseguiu,got
outras,others
final,Final
minuto,minute
sala,living room
chega,arrives
único,single
nossas,our
falta,lack
desta,this
aquilo,that
incrível,incredible
devemos,we must
direito,right
nessa,in that
vivo,live
mudar,to change
faria,would make
porra,Cum
perder,lose
falou,said
segurança,safety
pagar,pay
plano,plan
descobrir,to discover
conversar,talk
achar,find
próxima,next
sabem,know
comida,food
pegue,take it
diabos,hell
trás,back
jovem,young
trouxe,brought
acreditar,to believe
olhar,look
cama,bed
ponto,Score
passado,past
pena,feather
colocar,put on
tchau,bye
nesse,in that
fale,speak
ouça,listen
nele,in him
calma,calm
filme,movie
pedir,ask
paz,peace
sente,feels
louco,Crazy
palavra,word
cá,here
pequeno,small
john,John
caras,faces
ouviu,heard
próximo,next
médico,doctor
pensa,think
ligar,turn on
pior,worse
força,force
mostrar,Show
país,parents
acontece,it happens
fogo,fire
entende,you see
baixo,low
sob,under
acabar,end
continuar,Continue
estiver,is
lembro,I remember
dizem,say
srta,MS
vendo,seeing
luz,light
jogar,play
livro,book
adeus,goodbye
perguntar,to ask
existe,exists
manter,keep
fazem,make
cedo,early
querer,want
desculpa,excuse
jack,jack
semanas,weeks
vim,I came
estes,these
começou,started
hospital,hospital
atenção,Warning
seis,six
linda,beautiful
último,last
chamar,to call
escritório,office
rei,King
falei,I spoke
estávamos,we were
especial,Special
comprar,purchase
após,after
resto,rest
fiquei,stayed
alô,Hello
saiu,exited
ganhar,win
controle,control
fico,I get
brincando,playing
volte,come back
si,si
nesta,in this
garotas,girls
queremos,we want
presidente,president
pegou,took
real,real
devem,should
aonde,where
precisar,need
negócio,business
doutor,doctor
esteve,was
encontro,meeting
pelos,by
escute,Listen
finalmente,finally
estado,state
pé,foot
cuidar,take care
ama,love
armas,weapons
rua,Street
sam,sam
aqueles,those
umas,some
dólares,dollars
fato,fact
sentido,sense
pequena,little
prisão,prison
casar,marry
trabalhando,Working
escolha,choice
puta,hooker
amiga,friend
sozinha,alone
próprio,own
cabelo,hair
deste,this
estivesse,was
engraçado,funny
policial,police officer
ai,there
perfeito,Perfect
passou,passed on
alto,high
palavras,words
livre,free
mente,mind
s,s
seguro,safe
menina,girl
própria,own
bonito,pretty
futuro,future
pro,pro
entendi,understand
esqueça,forget
respeito,respect
tio,uncle
entender,understand
uh,uh
estará,will be
visto,visa
estas,these
agente,agent
sinal,signal
grupo,group
andar,floor
presente,gift
milhões,millions
rosto,face
mesa,table
dor,pain
foto,Photograph
preso,stuck
leve,Light
partir,leave
consegui,I got it
sexo,sex
voz,voice
assassino,killer
pense,think
chamado,called
daí,so
sai,leaves
pediu,asked
jesus,Jesus
situação,situation
olhando,looking
perdeu,lost
you,you
ar,air
tom,tone
voltou,came back
grandes,big ones
modo,mode
viagem,travel
sistema,system
rapazes,boys
simples,simple
linha,line
achou,found
entendeu,understood
estive,I have been
salvar,to save
boas,good
conhecer,to know
estaria,would
emprego,job
chama,flame
bonita,beautiful
conosco,with us
melhores,best
dez,ten
mensagem,message
michael,michael
contou,said
idade,age
crime,crime
questão,question
trazer,bring
usando,using
local,place
simplesmente,simply
lindo,pretty
tente,try
encontrei,found it
ficará,will
acredita,believes
levou,it took
precisam,need
farei,I will
doente,sick
natal,Christmas
professor,teacher
odeio,I hate
rapaz,boy
motivo,reason
disseram,they said
fizeram,made
seguir,follow
ótima,great
programa,program
campo,field
normal,normal
continue,continues
vontade,will
graças,thanks
menino,boy
chão,floor
sol,Sun
hey,hey
soube,I knew
acabei,I have finished
perguntas,Questions
surpresa,surprise
lista,list
sonho,dream
olho,eye
terminar,finish
irei,I will go
resposta,answer
beber,drink
ordem,order
encontrou,found
senhores,gentlemen
peguei,I caught
hotel,Hotel
caixa,Cashier
quente,hot
povo,people
acidente,accident
erro,mistake
precisava,needed
diria,would say
advogado,lawyer
us,us
mortos,dead
aniversário,birthday
joe,joe
inferno,hell
ataque,attack
david,david
charlie,charlie
vale,Valley
frank,frank
fotos,Photos
show,show
abrir,Open
parabéns,congratulations
fome,hunger
voce,you
tiver,have
ficando,staying
totalmente,totally
morta,dead
loja,store
naquela,at that
energia,energy
conversa,conversation
pelas,by
espaço,space
serviço,service
monte,hill
assassinato,murder
lei,law
negócios,Business
banco,Bank
reunião,meeting
estarei,will be
completamente,completely
george,george
divertido,funny
ligou,called
segunda,Monday
perdi,I've lost
fundo,bottom
lutar,fight
pudesse,could
explicar,explain
fomos,we
tome,take
notícias,News
céu,heaven
trabalha,works
exército,army
mês,month
mike,mike
parecia,It looked
passa,goes by
fará,will make
continua,to be continued
dei,I gave
tire,remove
olhada,look
tivemos,we had
carta,Letter
lembrar,remember
roupas,clothes
contato,contact
detetive,detective
passada,last
fizemos,We did
papel,paper
área,area
governo,government
abra,open it
interessante,interesting
horrível,horrible
luta,fight
ben,ben
dando,giving
beleza,beauty
certamente,Certainly
apartamento,apartment
banheiro,Restroom
mudou,has changed
capaz,able
metade,half
penso,I think
funciona,it works
tentei,I Tried
procurar,Search for
tradução,Translation
velha,old woman
triste,sad
prometo,promise
prova,proof
barco,boat
bons,Good
tentou,he tried
hein,huh
quantos,how many
senti,felt
decisão,decision
tenente,lieutenant
bebida,beverage
teremos,will
tv,TV
através,through
conselho,advice
avião,airplane
juro,swear
saindo,going out
ler,read
nela,it
tocar,touch
breve,short
pronta,ready
ligue,call
frio,cold
bar,Pub
anda,walking
missão,mission
chave,key
lamento,am sorry
tinham,they had
impossível,impossible
peça,piece
igreja,church
namorado,boyfriend
terrível,terrible
maravilhoso,wonderful
namorada,girlfriend
haver,be
maioria,majority
tendo,by having
segredo,secret
leva,takes
verdadeiro,true
viva,alive
naquele,that
saiba,know
roupa,clothing
sete,Seven
vítima,victim
drogas,drugs
nave,nave
assunto,subject matter
mandou,sent
imediatamente,immediately
diferentes,many different
ajude,help
cair,fall
tu,you
fazemos,We do
ouro,gold
loucura,madness
time,team
vidas,lives
pobre,poor
ouvindo,listening
mar,sea
né,huh
faremos,we will
puder,can
vista,View
começa,begins
alma,soul
aposto,bet
desses,these
fazia,was
paul,paul
general,general
mestre,master
adoro,love
senhorita,Ms
celular,cell phone
oficial,official
cavalo,horse
companhia,company
somente,only
esquecer,forget